Kc_s,mu_max,Yxs,Yxp,Yxco2,F0,mu0,s_f,Ki_p,sample_volume,timestamp,m_Glucose,m_Biomass,m_Product,m_CO2,v_Volume,v_Feed_accum,m_CO2_gas,c_Glucose,c_Biomass,c_Product,c_CO2,mu_true
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149646531327,0.1,100.0,2.0,NaN,0.0,75.0,500.0,0.0,0.0,1000.0,0.0,0.0,0.075,0.5,0.0,0.0,0.1
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149646531327,0.1,100.0,2.0,NaN,0.06006006006006006,75.007575613159,503.0102049101818,2.472914178306009,0.0,1000.0557645469698,0.05576454696995244,0.13604119123405933,0.07500339308292253,0.5029821563380997,0.002472776285056715,0.0,0.09987952616639262
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149646531327,0.1,100.0,2.0,NaN,0.12012012012012012,75.0218321297769,506.0349568995008,4.957778931182434,0.0,1000.1118650239384,0.11186502393853212,0.2727398134516737,0.07501344074943175,0.5059783556186372,0.004957224391157249,0.0,0.09976466869466259
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149646531327,0.1,100.0,2.0,NaN,0.18018018018018017,75.04257758502916,509.07446911913905,7.45476936450944,0.0,1000.1683034545542,0.16830345455436221,0.4101054996650756,0.07502994978528527,0.5089888045450047,0.007453514912201145,0.0,0.0996552276255805
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149646531327,0.1,100.0,2.0,NaN,0.24024024024024024,75.06962497628643,512.1289526989724,9.964058923643377,0.0,1000.2250818746937,0.2250818746938516,0.548147791536931,0.07505273196667449,0.5120137076937757,0.00996181669926535,0.0,0.09955100743238121
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149646531327,0.1,100.0,2.0,NaN,0.3003003003003003,75.1027920757208,515.1986168504403,12.485819477925569,0.0,1000.2822023324902,0.28220233249035304,0.6868761440293801,0.07508160387198103,0.5150532676169621,0.012482296944612963,0.0,0.09945181692146605
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149646531327,0.1,100.0,2.0,NaN,0.36036036036036034,75.1418989500064,518.2836702191636,15.020222431871215,0.0,1000.3396668885545,0.33966688855458793,0.8262999865333149,0.0751163844014373,0.5181076861934582,0.015015122292001026,0.0,0.09935746705728855
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149646531327,0.1,100.0,2.0,NaN,0.42042042042042044,75.18677451555119,521.3843173214042,17.567435797685352,0.0,1000.3974776156014,0.39747761560148764,0.9664285618201653,0.07515690132961471,0.5211771610661178,0.017560455909541556,0.0,0.09926777694973395
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149646531327,0.1,100.0,2.0,NaN,0.4804804804804805,75.23725465716412,524.5007595805051,20.127625046708072,0.0,1000.4556365988109,0.45563659881098395,1.1072709728820276,0.07520298942284308,0.5242618866775732,0.02011845834077636,0.0,0.0991825721819449
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149646531327,0.1,100.0,2.0,NaN,0.5405405405405406,75.2931791256319,527.633197019068,22.700954499556225,0.0,1000.514145936109,0.5141459361090758,1.2488362594068365,0.07525448733679371,0.5273620559611375,0.022689288893878234,0.0,0.09910168205113075
