Kc_s,mu_max,Yxs,Yxp,Yxco2,F0,mu0,s_f,sample_volume,timestamp,m_Glucose,m_Biomass,m_Product,m_CO2,v_Volume,v_Feed_accum,c_Glucose,c_Biomass,c_Product,c_CO2,mu_true
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827791605,0.1,100.0,NaN,0.0,75.0,500.0,0.0,0.0,1000.0,0.0,0.075,0.5,0.0,0.0,0.1
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827791605,0.1,100.0,NaN,0.06006006006006006,75.00418233589862,503.01203911413353,2.4744209956468497,0.1361240850230223,1000.0557645469703,0.055764546970455256,0.07499999999487614,0.5029839904397734,0.002474283018375254,0.00013611649454836863,0.09999999999544545
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827791605,0.1,100.0,NaN,0.12012012012012012,75.00838978321251,506.0422230331646,4.963748134441024,0.2730681942459366,1000.1118650239456,0.11186502394566934,0.07499999990642706,0.505985620939562,0.004963192926745428,0.00027303765088258254,0.09999999991682405
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827791605,0.1,100.0,NaN,0.18018018018018017,75.01262260421633,509.09066100098033,7.468071161355059,0.4108372647640449,1000.1683034545601,0.1683034545602983,0.07499999984515038,0.5090049937021519,0.007466814470685083,0.00041076813106856284,0.0999999998623559
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827791605,0.1,100.0,NaN,0.24024024024024024,75.01688103070057,512.157462939562,9.98748037842299,0.5494362643179946,1000.2250818746888,0.22508187468890198,0.07499999989012364,0.5120422115186736,0.009985232883486371,0.0005493126240027938,0.09999999990233212
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827791605,0.1,100.0,NaN,0.3003003003003003,75.02116516869235,515.2427395024931,12.52206668869742,0.688870193711967,1000.2822023324829,0.282202332483045,0.0749999999937579,0.5150973778210162,0.012518533929223327,0.0006886758477813984,0.09999999999445147
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827791605,0.1,100.0,NaN,0.36036036036036034,75.02547437139388,518.3466024191513,15.071921879007066,0.8291441023688763,1000.3396668884682,0.3396668884682384,0.07499999935497786,0.5181705970247642,0.015066804184510554,0.0008288625652003869,0.09999999942664699
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827791605,0.1,100.0,NaN,0.42042042042042044,75.02980593954359,521.4691652096561,17.637139207293124,0.9702631206412133,1000.397477615774,0.3974776157740735,0.07499999512030012,0.521261975242543,0.01763013162460919,0.0009698776159988135,0.09999999566248889
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827791605,0.1,100.0,NaN,0.4804804804804805,75.03416201424618,524.6105394165015,20.217810306857544,1.1122322895060013,1000.4556365993477,0.45563659934774037,0.07499998927418218,0.5243716165163576,0.02020860252792415,0.001111725746567428,0.09999999046593926
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827791605,0.1,100.0,NaN,0.5405405405405406,75.03854490148082,527.770837181213,22.81402730311244,1.2550566770124736,1000.5141459368672,0.5141459368672487,0.07499998396446039,0.5274996253921187,0.022802303591369723,0.0012544117263202275,0.099999985746186
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827791605,0.1,100.0,NaN,0.6006006006006006,75.0429562543894,530.950171693589,25.42588318263718,1.3987413985848283,1000.5730077388753,0.573007738875292,0.07499998068504136,0.5306461073674634,0.025411322298305197,0.001397940367935515,0.0999999828311464
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827791605,0.1,100.0,NaN,0.6606606606606606,75.04739707327658,534.1486571917015,28.053471793178257,1.543291617022219,1000.6322241287792,0.6322241287792437,0.07499998027608808,0.5338111688905172,0.028035746917508663,0.0015423165272994454,0.0999999824676323
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827791605,0.1,100.0,NaN,0.7207207207207207,75.0518677056098,537.3664089618954,30.69688784364953,1.6887125424987697,1000.6917972428511,0.6917972428511635,0.07499998292420895,0.5369949173586417,0.030675666502140733,0.0016875451034490169,0.09999998482151791
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827791605,0.1,100.0,NaN,0.7807807807807807,75.05636784601916,540.6035433387893,33.35622690413208,1.8350094325635653,1000.7517292302277,0.7517292302277939,0.07499998816265056,0.5401974611171727,0.03333117088869733,0.0018336310385144612,0.09999998947791107
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827791605,0.1,100.0,NaN,0.8408408408408409,75.06089653629756,543.8601777052746,36.03158540587407,1.9821875921406462,1000.8120222529105,0.8120222529105565,0.07499999487149374,0.5434189094581422,0.03600235069595187,0.001980579317661051,0.09999999544132765
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827791605,0.1,100.0,NaN,0.9009009009009009,75.06545216540064,547.1364304925164,38.72306064129106,2.130252373529023,1000.8726784857655,0.8726784857655601,0.07500000127785307,0.5466593726189898,0.03868929732388712,0.0021283949690303386,0.10000000113586938
