Kc_s,Kc_s2,mu_max,mu_max2,Yxs,Yxs2,Yxp,Yxco2,sample_volume,timestamp,m_Glucose,m_Biomass,m_Product,m_CO2,v_Volume,v_Feed_accum1,v_Feed_accum2,m_Glutamine,m_CO2_gas,c_Glucose,c_Biomass,c_Product,c_CO2,c_Feed,c_Glutamine,c_Glucose_feed1,c_Glutamine_feed1,c_Glutamine_feed2,mu_true
0.15,1.0,0.3,0.8,1.85,0.02,0.8215102466751038,0.04519333244521413,NaN,0.0,50000.0,500.0,0.0,0.0,1000.0,0.0,0.0,1000.0,0.0,50.0,0.5,0.0,0.0,0.0,1.0,100,1,10,0.11964107676969093
0.15,1.0,0.3,0.8,1.85,0.02,0.8215102466751038,0.04519333244521413,NaN,0.08008008008008008,49991.09532521803,504.8133377199783,3.954206257669979,0.0,1000.0,0.0,0.0,999.9037332456005,0.2175307717500696,49.99109532521803,0.5048133377199783,0.003954206257669979,0.0,0.0,0.9999037332456006,100,1,10,0.1196352540244633
0.15,1.0,0.3,0.8,1.85,0.02,0.8215102466751038,0.04519333244521413,NaN,0.16016016016016016,49982.105369790326,509.672773086308,7.946282204165236,0.0,1000.0,0.0,0.0,999.8065445382739,0.4371448497566397,49.982105369790325,0.509672773086308,0.007946282204165236,0.0,0.0,0.9998065445382739,100,1,10,0.11962937493524063
0.15,1.0,0.3,0.8,1.85,0.02,0.8215102466751038,0.04519333244521413,NaN,0.24024024024024024,49973.02932561285,514.5787429119679,11.97658668582367,0.0,1000.0,0.0,0.0,999.7084251417607,0.658861975053874,49.97302932561285,0.5145787429119679,0.01197658668582367,0.0,0.0,0.9997084251417607,100,1,10,0.11962343895682134
0.15,1.0,0.3,0.8,1.85,0.02,0.8215102466751038,0.04519333244521413,NaN,0.3203203203203203,49963.86637703001,519.5316880918815,16.0454819023428,0.0,1000.0,0.0,0.0,999.6093662381625,0.8827020731526332,49.96386637703001,0.5195316880918815,0.0160454819023428,0.0,0.0,0.9996093662381624,100,1,10,0.11961744553868851
0.15,1.0,0.3,0.8,1.85,0.02,0.8215102466751038,0.04519333244521413,NaN,0.40040040040040037,49954.615700813585,524.5320536142726,20.15333341610801,0.0,1000.0,0.0,0.0,999.5093589277146,1.108685254553642,49.954615700813584,0.5245320536142726,0.020153333416108008,0.0,0.0,0.9995093589277146,100,1,10,0.11961139412498825
0.15,1.0,0.3,0.8,1.85,0.02,0.8215102466751038,0.04519333244521413,NaN,0.4804804804804805,49945.27646602108,529.5802886372489,24.30051021510719,0.0,1000.0,0.0,0.0,999.4083942272551,1.3368318182085843,49.945276466021085,0.5295802886372489,0.024300510215107193,0.0,0.0,0.9994083942272551,100,1,10,0.11960528415442934
0.15,1.0,0.3,0.8,1.85,0.02,0.8215102466751038,0.04519333244521413,NaN,0.5605605605605606,49935.84783308755,534.6768469796966,28.487385116205434,0.0,1000.0,0.0,0.0,999.3064630604061,1.5671622737052513,49.93584783308755,0.5346768469796966,0.028487385116205435,0.0,0.0,0.9993064630604062,100,1,10,0.1195991150596806
0.15,1.0,0.3,0.8,1.85,0.02,0.8215102466751038,0.04519333244521413,NaN,0.6406406406406406,49926.328956477664,539.8221856877458,32.71433358748187,0.0,1000.0,0.0,0.0,999.2035562862452,1.7996972764813468,49.92632895647766,0.5398221856877458,0.03271433358748187,0.0,0.0,0.9992035562862452,100,1,10,0.11959288626909825
0.15,1.0,0.3,0.8,1.85,0.02,0.8215102466751038,0.04519333244521413,NaN,0.7207207207207207,49916.71898292966,545.0167659839619,36.98173452800006,0.0,1000.0,0.0,0.0,999.0996646803209,2.0344576707216038,49.91671898292966,0.545016765983962,0.03698173452800006,0.0,0.0,0.9990996646803209,100,1,10,0.1195865972055685
