Kc_s,mu_max,Yxs,Yxp,Yxco2,F0,mu0,s_f,evap_rate,sample_volume,timestamp,m_Glucose,m_Biomass,m_Product,m_CO2,v_Volume,v_Feed_accum,m_CO2_gas,c_Glucose,c_Biomass,c_Product,c_CO2,mu_true
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.03548779965008375,0.1,100.0,1.0,NaN,0.0,75.0,500.0,0.0,0.0,1000.0,0.0,0.0,0.075,0.5,0.0,0.0,0.1
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.03548779965008375,0.1,100.0,1.0,NaN,0.06006006006006006,75.00407227202926,503.012098608122,2.4744698705680377,0.0,999.9957044869103,0.05576454697054965,0.13612677375462415,0.07500439445438742,0.5030142593124572,0.0024744804997314145,0.0,0.10000390610538791
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.03548779965008375,0.1,100.0,1.0,NaN,0.12012012012012012,75.00795411615408,506.0424585289497,4.9639415966414875,0.0,999.9917449038268,0.11186502394710894,0.27307883708523983,0.07500857331914065,0.5060466359925979,0.0049639825747950445,0.0,0.10000762043775861
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.03548779965008375,0.1,100.0,1.0,NaN,0.18018018018018017,75.0116525828418,509.09118533694,7.468501908718627,0.0,999.9881232743815,0.16830345456180734,0.41086096125338345,0.07501254348623874,0.5090972317450746,0.007468590611120073,0.0,0.10001114914399385
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.03548779965008375,0.1,100.0,1.0,NaN,0.24024024024024024,75.01517456550943,512.158385353151,9.988238150637928,0.0,999.984841634448,0.22508187468838514,0.5494779512619689,0.07501631169018438,0.5121661489548601,0.009988389558298129,0.0,0.10001449822909447
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.03548779965008375,0.1,100.0,1.0,NaN,0.3003003003003003,75.01852670437505,515.2441656993232,12.523238324007085,0.0,999.9819020321808,0.2822023324812281,0.6889346482994392,0.07501988441182894,0.5152534907404174,0.012523464973273156,0.0,0.10001767347084095
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.03548779965008375,0.1,100.0,1.0,NaN,0.36036036036036034,75.02171494331482,518.3486345411924,15.073591288086194,0.0,999.9793065280847,0.3396668884452055,0.8292359407358414,0.07502326743519248,0.5183593611960753,0.015073903219479119,0.0,0.10002068002607703
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.03548779965008375,0.1,100.0,1.0,NaN,0.42042042042042044,75.02474243605364,521.4719022388832,17.639387704848644,0.0,999.9770571953593,0.3974776157798756,0.9703868161129856,0.07502646375355443,0.5214838665413566,0.017639792411159837,0.0,0.1000235205700814
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.03548779965008375,0.1,100.0,1.0,NaN,0.4804804804804805,75.02761720204792,524.6140771575009,20.220716597338537,0.0,999.9751561189536,0.4556365994342445,1.1123921718110856,0.07502948122555446,0.5246271109310386,0.020221218970897264,0.0,0.10002620210062603
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.03548779965008375,0.1,100.0,1.0,NaN,0.5405405405405406,75.03034773466031,527.7752680909703,22.81766734088002,0.0,999.9736053964889,0.5141459370295508,1.2552569245901612,0.07503232818321322,0.5277891988776121,0.022818269620059454,0.0,0.10002873203461406
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.03548779965008375,0.1,100.0,1.0,NaN,0.6006006006006006,75.03294173918366,530.955584955643,25.43033023288232,0.0,999.9724071384705,0.5730077390712301,1.3989860419364377,0.07503501216988433,0.5309702359438396,0.025431031947825408,0.0,0.1000311170866673
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.03548779965008375,0.1,100.0,1.0,NaN,0.6606606606606606,75.03540613284103,534.1551387902975,28.05879649283966,0.0,999.9715634682881,0.6322241289489132,1.5435845420623409,0.07503753994022512,0.5341703287417904,0.028059594410385937,0.0,0.1000333632692884
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.03548779965008375,0.1,100.0,1.0,NaN,0.7207207207207207,75.03774704478566,537.3740417561391,30.703158262331474,0.0,999.9710765222155,0.6917972429364304,1.689057493906509,0.07503991746017127,0.5373895849318605,0.0307040463301334,0.0,0.10003547589300758
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.03548779965008375,0.1,100.0,1.0,NaN,0.7807807807807807,75.03996981610102,540.6124071367997,33.363508605022034,0.0,999.9709484494109,0.7517292301918042,1.8354100171337744,0.07504214990691535,0.5406281132217808,0.03336447789483948,0.0,0.10003745956651479
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.03548779965008375,0.1,100.0,1.0,NaN,0.8408408408408409,75.04207899980075,543.8703493383379,36.03994150666088,0.0,999.9711814119163,0.8120222527572574,1.9826472821351815,0.07504424166888946,0.5438860233656098,0.03604098015682215,0.0,0.10003931819677887
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.03548779965008375,0.1,100.0,1.0,NaN,0.9009009009009009,75.0440783608287,547.1479838892391,38.732551875082564,0.0,999.9717775846582,0.8726784855592092,2.13077451002798,0.0750461963457518,0.5471634261627121,0.03873364503210036,0.0,0.10004105498915505
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.03548779965008375,0.1,100.0,1.0,NaN,0.960960960960961,75.04597087605895,550.4454274404153,41.441435540206555,0.0,999.9727391554471,0.9337001164082713,2.279796972655613,0.07504801674837752,0.5504604334567242,0.041442565299537056,0.0,0.10004267244748148
