Strain,Biolector well,Biolector column,Biolector row,Cycle,Time,Feeding time,Volume,Accum. feed [uL],Biomass concentration [light scatter],DO%,Sample volume
Yeast_strain_2,E04,04,E,146.0,14.602800369262695,0.3000001907348633,800.48,0.48,3.5799999237060547,148.33999633789062,0.0
Yeast_strain_3,E05,05,E,146.0,14.602800369262695,0.3000001907348633,800.48,0.48,3.75,147.7100067138672,0.0
Yeast_strain_3,E06,06,E,146.0,14.602800369262695,0.3000001907348633,800.48,0.48,3.829999923706055,144.94000244140625,0.0
Yeast_strain_1,F01,01,F,146.0,14.602800369262695,0.3000001907348633,800.48,0.48,3.509999990463257,148.72999572753906,0.0
Yeast_strain_1,F02,02,F,146.0,14.602800369262695,0.3000001907348633,800.48,0.48,3.440000057220459,148.6199951171875,0.0
Yeast_strain_2,F03,03,F,146.0,14.602800369262695,0.3000001907348633,800.48,0.48,3.849999904632568,145.99000549316406,0.0
Yeast_strain_2,F04,04,F,146.0,14.602800369262695,0.3000001907348633,800.48,0.48,3.539999961853028,148.66000366210938,0.0
Yeast_strain_3,F05,05,F,146.0,14.602800369262695,0.3000001907348633,800.48,0.48,3.809999942779541,147.72999572753906,0.0
Yeast_strain_3,F06,06,F,146.0,14.602800369262695,0.3000001907348633,800.48,0.48,3.4600000381469727,147.97999572753906,0.0
Yeast_strain_1,C01,01,C,147.0,14.702799797058104,0.3999996185302734,800.64,0.64,2.8299999237060547,147.8300018310547,0.0
Yeast_strain_1,C02,02,C,147.0,14.702799797058104,0.3999996185302734,800.64,0.64,2.869999885559082,148.32000732421875,0.0
Yeast_strain_2,C03,03,C,147.0,14.702799797058104,0.3999996185302734,800.64,0.64,2.970000028610229,146.27000427246094,0.0
Yeast_strain_2,C04,04,C,147.0,14.702799797058104,0.3999996185302734,800.64,0.64,2.869999885559082,147.9600067138672,0.0
Yeast_strain_3,C05,05,C,147.0,14.702799797058104,0.3999996185302734,800.64,0.64,3.150000095367432,148.3699951171875,0.0
Yeast_strain_3,C06,06,C,147.0,14.702799797058104,0.3999996185302734,800.64,0.64,3.0199999809265137,148.4600067138672,0.0
Yeast_strain_1,D01,01,D,147.0,14.702799797058104,0.3999996185302734,800.64,0.64,3.200000047683716,148.52000427246094,0.0
Yeast_strain_1,D02,02,D,147.0,14.702799797058104,0.3999996185302734,800.64,0.64,3.25,148.2899932861328,0.0
Yeast_strain_2,D03,03,D,147.0,14.702799797058104,0.3999996185302734,800.64,0.64,3.240000009536743,148.52000427246094,0.0
Yeast_strain_2,D04,04,D,147.0,14.702799797058104,0.3999996185302734,800.64,0.64,3.400000095367432,147.86000061035156,0.0
Yeast_strain_3,D05,05,D,147.0,14.702799797058104,0.3999996185302734,800.64,0.64,3.4600000381469727,147.61000061035156,0.0
Yeast_strain_3,D06,06,D,147.0,14.702799797058104,0.3999996185302734,800.64,0.64,3.5899999141693115,144.67999267578125,0.0
Yeast_strain_1,E01,01,E,147.0,14.702799797058104,0.3999996185302734,800.64,0.64,3.539999961853028,148.61000061035156,0.0
Yeast_strain_1,E02,02,E,147.0,14.702799797058104,0.3999996185302734,800.64,0.64,3.4600000381469727,149.10000610351562,0.0
Yeast_strain_2,E03,03,E,147.0,14.702799797058104,0.3999996185302734,800.64,0.64,3.5199999809265137,145.16000366210938,0.0
Yeast_strain_2,E04,04,E,147.0,14.702799797058104,0.3999996185302734,800.64,0.64,3.650000095367432,148.6199951171875,0.0
Yeast_strain_3,E05,05,E,147.0,14.702799797058104,0.3999996185302734,800.64,0.64,3.819999933242798,148.14999389648438,0.0
Yeast_strain_3,E06,06,E,147.0,14.702799797058104,0.3999996185302734,800.64,0.64,3.829999923706055,147.22999572753906,0.0
Yeast_strain_1,F01,01,F,147.0,14.702799797058104,0.3999996185302734,800.64,0.64,3.5299999713897705,149.32000732421875,0.0
Yeast_strain_1,F02,02,F,147.0,14.702799797058104,0.3999996185302734,800.64,0.64,3.470000028610229,148.4199981689453,0.0
