Kc_s,Kc_s2,mu_max,mu_max2,Yxs,Yxs2,Yxp,Yxco2,sample_volume,timestamp,m_Glucose,m_Biomass,m_Product,m_CO2,v_Volume,v_Feed_accum1,v_Feed_accum2,m_Glutamate,c_Glucose,c_Biomass,c_Product,c_CO2,c_Feed,c_Glutamate,c_Glucose_feed1,c_Glutamate_feed1,c_Glutamate_feed2,mu_true
0.15,1.0,0.3,0.8,1.85,0.02,0.8215102466751038,0.04519333244521413,NaN,0.0,50000.0,500.0,0.0,0.0,1000.0,0.0,0.0,1000.0,50.0,0.5,0.0,0.0,0.0,1.0,100,1,10,0.11964107676969093
0.15,1.0,0.3,0.8,1.85,0.02,0.8215102466751038,0.04519333244521413,NaN,0.08008008008008008,49991.09532521824,504.8133377198713,3.9542062575820145,0.21753077174523067,1000.0,0.0,0.0,999.9037332456026,49.99109532521824,0.5048133377198712,0.003954206257582015,0.00021753077174523067,0.0,0.9999037332456026,100,1,10,0.11963525402446343
0.15,1.0,0.3,0.8,1.85,0.02,0.8215102466751038,0.04519333244521413,NaN,0.16016016016016016,49982.10536976887,509.6727730979095,7.946282213695901,0.4371448502809459,1000.0,0.0,0.0,999.8065445380417,49.98210536976887,0.5096727730979095,0.0079462822136959,0.0004371448502809459,0.0,0.9998065445380417,100,1,10,0.1196293749352266
0.15,1.0,0.3,0.8,1.85,0.02,0.8215102466751038,0.04519333244521413,NaN,0.24024024024024024,49973.02932557802,514.5787429307996,11.976586701294126,0.6588619759049433,1000.0,0.0,0.0,999.7084251413839,49.97302932557802,0.5145787429307996,0.011976586701294126,0.0006588619759049433,0.0,0.9997084251413839,100,1,10,0.11962343895679854
0.15,1.0,0.3,0.8,1.85,0.02,0.8215102466751038,0.04519333244521413,NaN,0.3203203203203203,49963.866377011014,519.5316881021544,16.045481910781962,0.8827020736168927,1000.0,0.0,0.0,999.6093662379569,49.963866377011016,0.5195316881021543,0.016045481910781964,0.0008827020736168927,0.0,0.9996093662379569,100,1,10,0.11961744553867608
0.15,1.0,0.3,0.8,1.85,0.02,0.8215102466751038,0.04519333244521413,NaN,0.40040040040040037,49954.61570082444,524.5320536084097,20.153333411291428,1.1086852542886692,1000.0,0.0,0.0,999.5093589278317,49.95461570082444,0.5245320536084097,0.020153333411291427,0.0011086852542886692,0.0,0.9995093589278318,100,1,10,0.11961139412499536
0.15,1.0,0.3,0.8,1.85,0.02,0.8215102466751038,0.04519333244521413,NaN,0.4804804804804805,49945.27646616617,529.5802885588258,24.300510150681678,1.3368318146643747,1000.0,0.0,0.0,999.4083942288235,49.94527646616617,0.5295802885588258,0.024300510150681676,0.0013368318146643747,0.0,0.9994083942288234,100,1,10,0.11960528415452423
0.15,1.0,0.3,0.8,1.85,0.02,0.8215102466751038,0.04519333244521413,NaN,0.5605605605605606,49935.84783434692,534.6768462989618,28.48738455697475,1.567162242940572,1000.0,0.0,0.0,999.3064630740207,49.935847834346916,0.5346768462989617,0.02848738455697475,0.0015671622429405722,0.0,0.9993064630740207,100,1,10,0.11959911506050463
0.15,1.0,0.3,0.8,1.85,0.02,0.8215102466751038,0.04519333244521413,NaN,0.6406406406406406,49926.32895783634,539.8221849533271,32.71433298414936,1.7996972432905152,1000.0,0.0,0.0,999.2035563009334,49.92632895783634,0.5398221849533271,0.03271433298414936,0.0017996972432905152,0.0,0.9992035563009334,100,1,10,0.11959288626998732
0.15,1.0,0.3,0.8,1.85,0.02,0.8215102466751038,0.04519333244521413,NaN,0.7207207207207207,49916.7189834503,545.0167657025385,36.98173429680771,2.034457658003132,1000.0,0.0,0.0,999.0996646859492,49.9167189834503,0.5450167657025384,0.036981734296807706,0.002034457658003132,0.0,0.9990996646859491,100,1,10,0.11958659720590921
