Kc_s,mu_max,Yxs,Yxp,Yxco2,F0,mu0,s_f,sample_volume,timestamp,m_Glucose,m_Biomass,m_Product,m_CO2,v_Volume,v_Feed_accum,m_CO2_gas,c_Glucose,c_Biomass,c_Product,c_CO2,mu_true
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,0.0,75.0,500.0,0.0,0.0,1000.0,0.0,0.0,0.075,0.5,0.0,0.0,0.1
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,0.06006006006006006,75.00418233568773,503.0120391142502,2.4744209957426815,0.0,1000.0557645469704,0.05576454697050445,0.1361240850282943,0.07499999999466525,0.50298399043989,0.00247428301847108,0.0,0.099999999995258
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,0.12012012012012012,75.00838977872878,506.04222303562864,4.963748136465232,0.0,1000.1118650239463,0.11186502394641637,0.2730681943572936,0.07499999990194378,0.5059856209420255,0.004963192928769405,0.0,0.09999999991283892
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,0.18018018018018017,75.01262259486063,509.09066100607924,7.468071165543867,0.0,1000.1683034545609,0.16830345456107124,0.4108372649944821,0.0749999998357962,0.5090049937072495,0.00746681447487318,0.0,0.09999999985404107
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,0.24024024024024024,75.01688102056177,512.157462945027,9.987480382912478,0.0,1000.2250818746885,0.22508187468861504,0.5494362645649725,0.07499999987998715,0.5120422115241374,0.009985232887974852,0.0,0.09999999989332191
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,0.3003003003003003,75.02116516425603,515.242739504841,12.522066690626197,0.0,1000.282202332482,0.28220233248211685,0.6888701938180734,0.0749999999893229,0.5150973778233638,0.012518533931151571,0.0,0.09999999999050924
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,0.36036036036036034,75.02547446246152,518.346602369274,15.07192183803233,0.0,1000.339666888456,0.3396668884561841,0.8291441001147531,0.07499999944601549,0.5181705969749102,0.015066804143549913,0.0,0.09999999950756933
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,0.42042042042042044,75.0298058993842,521.4691652316025,17.637139225322205,0.0,1000.3974776157784,0.39747761577848517,0.9702631216330372,0.07499999508015635,0.5212619752644784,0.017630131642631032,0.0,0.09999999562680556
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,0.4804804804804805,75.0341615496323,524.6105396701718,20.217810515250136,0.0,1000.4556365993943,0.4556365993944983,1.1122323009701978,0.0749999888097764,0.5243716167698879,0.020208602736220892,0.0,0.09999999005313409
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,0.5405405405405406,75.03854387857095,527.7708377387584,22.81402776114164,0.0,1000.5141459369526,0.5141459369527386,1.255056702209804,0.07499998294206978,0.5274996259493325,0.022802304049161608,0.0,0.09999998483739421
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,0.6006006006006006,75.04295467686492,530.9501725517891,25.42588388765727,0.0,1000.5730077389766,0.5730077389767471,1.398741437369745,0.07499997910841272,0.5306461082251184,0.025411323002918967,0.0,0.09999998142969847
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,0.6606606606606606,75.04739506047862,534.1486582843407,28.05347269079254,0.0,1000.632224128865,0.6322241288650885,1.5432916664022238,0.07499997826455541,0.5338111699824202,0.028035747814553404,0.0,0.09999998067960293
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,0.7207207207207207,75.05186547067605,537.3664101721404,30.6968888378781,0.0,1000.6917972428912,0.691797242891356,1.6887125971937682,0.07499998069081724,0.5369949185680284,0.03067566749568074,0.0,0.09999998283628052
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,0.7807807807807807,75.05636567402085,540.6035445115654,33.35622786757951,0.0,1000.751729230204,0.7517292302041653,1.8350094855652173,0.07499998599228556,0.5401974622890806,0.03333117185142185,0.0,0.09999998754869752
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,0.8408408408408409,75.06089476237631,543.860178659643,36.03158618989738,0.0,1000.812022252827,0.8120222528271569,1.9821876352717291,0.07499999309901803,0.5434189104117816,0.03600235147934206,0.0,0.09999999386579361
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,0.9009009009009009,75.0654511529053,547.1364310340513,38.72306108616744,0.0,1000.8726784856589,0.8726784856590003,2.1302523980027854,0.07500000026624853,0.5466593731601107,0.038689297768379725,0.0,0.10000000023666537
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,0.960960960960961,75.07003258807033,550.4324211131182,41.43075070906033,0.0,1000.9337001164732,0.9337001164733871,2.2792091733821804,0.07500000507459668,0.5499189617145145,0.041392102897763614,0.0,0.1000000045107525
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,1.021021021021021,75.07463303168126,553.7482711375901,44.154755480601885,0.0,1000.9950893463621,0.9950893463622267,2.4290634858766103,0.07500000132938126,0.5531977899104192,0.04411086123253054,0.0,0.10000000118167222
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,1.0810810810810811,75.07923877779152,557.084108283277,46.895179877023146,0.0,1001.0568483910184,1.056848391018538,2.579821082984735,0.07499997517470171,0.5564959764060041,0.04684567110488976,0.0,0.09999997793306575
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,1.1411411411411412,75.08385846665243,560.4400482485155,49.65211894569306,0.0,1001.1189794772639,1.1189794772640596,2.731487193499939,0.07499993507850346,0.5598136282873692,0.0495966213442672,0.0,0.09999994229198642
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,1.2012012012012012,75.08850199049563,563.816206786631,52.425667779154544,0.0,1001.1814848454575,1.1814848454576272,2.8840670487007385,0.07499989075615626,0.5631508525885911,0.05236380074212717,0.0,0.09999990289431397
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,1.2612612612612613,75.09317741495623,567.2127013909598,55.215922899387344,0.0,1001.2443667498823,1.2443667498823159,3.0375659585025456,0.07499985009525155,0.5665077579733874,0.05514729943362634,0.0,0.09999986675124593
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,1.3213213213213213,75.0978909790728,570.6296512948493,58.022982257808074,0.0,1001.3076274587453,1.307627458745437,3.1919893114576654,0.0749998191561433,0.5698844547335277,0.057947208896297626,0.0,0.09999983924977596
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,1.3813813813813816,75.10264709528745,574.0671774716577,60.846945235270134,0.0,1001.3712692541784,1.3712692541785407,3.347342574755298,0.07499980217249884,0.573281054787225,0.060763621948719336,0.0,0.0999998241531777
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,1.4414414414414414,75.10744834944575,577.5254026347545,63.687912642063864,0.0,1001.4352944322374,1.4352944322374146,3.5036312942215373,0.07499980155185945,0.5766976716775115,0.06359663274916993,0.0,0.09999982360149727
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,1.5015015015015016,75.1122955007967,581.00445123752,66.5459867179164,0.0,1001.4997053029019,1.4997053029020857,3.660861094319375,0.07499981787621107,0.5801344205705944,0.06644633679426763,0.0,0.09999983811205658
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,1.5615615615615615,75.1171874819929,584.5044494733454,69.42127113199176,0.0,1001.5645041900767,1.5645041900768175,3.819037678148696,0.07499984990256521,0.5835914182541939,0.0693128309175951,0.0,0.09999986657996894
