Kc_s,mu_max,Yxs,Yxp,Yxco2,F0,mu0,s_f,Ki_p,evaporation_rate_product,Yxo2,O2_flow_rate_in,kla,c_o2_sat,sample_volume,timestamp,m_Glucose,m_Biomass,m_Product,m_CO2,v_Volume,v_Feed_accum,m_CO2_gas,m_product_gas,m_O2_in,m_O2,m_O2_gas,c_Glucose,c_Biomass,c_Product,c_CO2,c_O2,mu_true,qt_O2
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827861336,0.1,100.0,2.0,0.1,0.01,10.0,748.0,0.0848,NaN,3.871935967983992,82.71169888351108,732.4297633502416,160.2117291879588,0.0,1004.3770676108137,4.377067610814574,10.504275565249895,30.731703036533965,38.7193596798399,85.19272809519862,36.00233395113912,0.08235124192975009,0.7292378400201098,0.15951352769240973,0.0,0.08482145883502984,0.09847374993823454,-0.01605120860231951
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827861336,0.1,100.0,2.0,0.1,0.01,10.0,748.0,0.0848,NaN,3.9019509754877433,82.79910488184271,734.5978664936547,161.51002446247932,0.0,1004.4180515789502,4.418051578951032,10.602259371385673,31.21452671017577,39.0195097548774,85.14663640835357,36.32689468158755,0.08243490322747794,0.7313666509068243,0.1607996035202521,0.0,0.0847721088589583,0.0984796615950225,0.020862573499187353
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827861336,0.1,100.0,2.0,0.1,0.01,10.0,748.0,0.0848,NaN,3.9319659829914957,82.88671511465348,736.7725186026674,162.80980072566405,0.0,1004.4591587452951,4.459158745295874,10.700539147100969,31.70124943749854,39.31965982991492,85.20137861541416,36.550556028474354,0.08251875090490504,0.7335017180021491,0.16208702893309812,0.0,0.08482313877434515,0.0984856018410798,-0.01730780321017178
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827861336,0.1,100.0,2.0,0.1,0.01,10.0,748.0,0.0848,NaN,3.961980990495248,82.97452818405523,738.9537404510038,164.11107057923556,0.0,1004.5003894801835,4.500389480184115,10.799115831229598,32.19187568260691,39.619809904952454,85.16877141891007,36.86150108153261,0.08260278348621998,0.7356430601618813,0.16337581577659815,0.0,0.0847871960139148,0.09849156868008502,0.009577381591733547
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827861336,0.1,100.0,2.0,0.1,0.01,10.0,748.0,0.0848,NaN,3.991995997998999,83.06254275416127,741.1415528390484,165.41384660901815,0.0,1004.5417441550633,4.5417441550639985,10.897990363810251,32.68640994740561,39.919959979989954,85.17534248732342,37.1332019642763,0.08268699955722254,0.7377906962566646,0.1646659758755476,0.0,0.08479024687915365,0.09849756017169184,0.007295334393068342
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827861336,0.1,100.0,2.0,0.1,0.01,10.0,748.0,0.0848,NaN,4.022011005502752,83.15075754986238,743.3359765946888,166.7181413856768,0.0,1004.5832231424998,4.5832231425003584,10.997163686124585,33.18485677155286,40.220110055027504,85.21007262739697,37.37667766168389,0.08277139776409292,0.7399446451727641,0.16595752103459913,0.0,0.08482131760158804,0.09850357443023702,-0.015945565987851074
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827861336,0.1,100.0,2.0,0.1,0.01,10.0,748.0,0.0848,NaN,4.052026013006503,83.23917135562533,745.5370325741459,168.02396746544343,0.0,1004.6248268161775,4.624826816177944,11.096636740734716,33.68722073241575,40.52026013006502,85.16335411799933,37.701535686324476,0.08285597681218376,0.7421049258128293,0.16725046303896274,0.0,0.08477130152944369,0.09850960962347441,0.021466455976119736
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827861336,0.1,100.0,2.0,0.1,0.01,10.0,748.0,0.0848,NaN,4.082041020510255,83.32778301431344,747.7447416627942,169.33133739083326,0.0,1004.6665555509044,4.666555550904821,11.196410471520323,34.193506445028305,40.82041020510255,85.22046576401256,37.92249702446228,0.08294073546483392,0.7442715570966446,0.16854481365509494,0.0,0.0848246269303573,0.09851566397133332,-0.018420943907264065
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827861336,0.1,100.0,2.0,0.1,0.01,10.0,748.0,0.0848,NaN,4.112056028014007,83.41659142602899,749.9591247759696,170.64026369134834,0.0,1004.7084097226153,4.708409722615721,11.296485823715123,34.703718562051115,41.12056028014006,85.18514986709351,38.23581916528708,0.0830256725422046,0.7464445579618686,0.1698405846313753,0.0,0.08478594290915892,0.09852173574470201,0.010514703949129733
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827861336,0.1,100.0,2.0,0.1,0.01,10.0,748.0,0.0848,NaN,4.142071035517759,83.50559554697723,752.1802028597663,171.95075888417057,0.0,1004.7503897083751,4.750389708375443,11.396863743942928,35.21786177373344,41.42071035517757,85.19371340697015,38.50519491960999,0.08311078692013686,0.7486239473647616,0.17113778769877225,0.0,0.08479092347672271,0.09852782326423522,0.006789239411415349
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827861336,0.1,100.0,2.0,0.1,0.01,10.0,748.0,0.0848,NaN,4.17208604302151,83.59479438835137,754.4079968918236,173.2628354748436,0.0,1004.792495886382,4.792495886382246,11.49754518025316,35.735940807877235,41.720860430215076,85.22755474318478,38.74922571811228,0.08319607752903038,0.7508097442809019,0.17243643457149732,0.0,0.08482105020897965,0.09853392489918568,-0.015745556316776488
